yf_ticker,name,index,exchange
FNTN.F,Freenet,MDAX50,Deutsche Boerse Frankfurt
FPE3.F,Fuchs Petrolub,MDAX50,Deutsche Boerse Frankfurt
FRA.F,Fraport,MDAX50,Deutsche Boerse Frankfurt
FRE.F,Fresenius,DAX40,Deutsche Boerse Frankfurt
FYB.F,Formycon AG,SDAX70,Deutsche Boerse Frankfurt
G1A.F,GEA Group,DAX40,Deutsche Boerse Frankfurt
G24.F,Scout24,DAX40,Deutsche Boerse Frankfurt
GBF.F,Bilfinger,MDAX50,Deutsche Boerse Frankfurt
GFT.F,GFT Technologies SE,SDAX70,Deutsche Boerse Frankfurt
GLJ.F,Grenke AG,SDAX70,Deutsche Boerse Frankfurt
GXI.F,Gerresheimer,MDAX50,Deutsche Boerse Frankfurt
GYC.F,Grand City Properties S.A.,SDAX70,Deutsche Boerse Frankfurt
HAG.F,Hensoldt,MDAX50,Deutsche Boerse Frankfurt
HBH.F,HORNBACH Holding AG & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
HDD.F,Heidelberger Druckmaschinen Aktiengesellschaft,SDAX70,Deutsche Boerse Frankfurt
HEI.F,Heidelberg Materials,DAX40,Deutsche Boerse Frankfurt
HEN3.F,Henkel,DAX40,Deutsche Boerse Frankfurt
HFG.F,HelloFresh,MDAX50,Deutsche Boerse Frankfurt
HLE.F,Hella,MDAX50,Deutsche Boerse Frankfurt
HNR1.F,Hannover Re,DAX40,Deutsche Boerse Frankfurt
HOT.F,Hochtief,MDAX50,Deutsche Boerse Frankfurt
HYQ.F,Hypoport SE,SDAX70,Deutsche Boerse Frankfurt
IFX.F,Infineon Technologies,DAX40,Deutsche Boerse Frankfurt
INH.F,INDUS Holding AG,SDAX70,Deutsche Boerse Frankfurt
JEN.F,Jenoptik,MDAX50,Deutsche Boerse Frankfurt
JST.F,JOST Werke AG,SDAX70,Deutsche Boerse Frankfurt
JUN3.F,Jungheinrich,MDAX50,Deutsche Boerse Frankfurt
KBX.F,Knorr-Bremse,MDAX50,Deutsche Boerse Frankfurt
KGX.F,KION Group,MDAX50,Deutsche Boerse Frankfurt
KRN.F,Krones,MDAX50,Deutsche Boerse Frankfurt
KSB.F,KSB SE & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
KTN.F,Kontron AG,SDAX70,Deutsche Boerse Frankfurt
KWS.F,KWS SAAT SE & Co KGaA,SDAX70,Deutsche Boerse Frankfurt
LEG.F,LEG Immobilien,MDAX50,Deutsche Boerse Frankfurt
LHA.F,Lufthansa,MDAX50,Deutsche Boerse Frankfurt
LPK.F,LPKF Laser & Electronics AG,SDAX70,Deutsche Boerse Frankfurt
LXS.F,Lanxess,MDAX50,Deutsche Boerse Frankfurt
MBB.F,MBB SE,SDAX70,Deutsche Boerse Frankfurt
MBG.F,Mercedes-Benz Group,DAX40,Deutsche Boerse Frankfurt
MRK.F,Merck,DAX40,Deutsche Boerse Frankfurt
MTX.F,MTU Aero Engines,DAX40,Deutsche Boerse Frankfurt
MUV2.F,Munich Re,DAX40,Deutsche Boerse Frankfurt
MUX.F,Mutares SE & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
NA9.F,Nagarro SE,SDAX70,Deutsche Boerse Frankfurt
NCH2.F,thyssenkrupp nucera AG & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
NDA.F,Aurubis,MDAX50,Deutsche Boerse Frankfurt
NDX1.F,Nordex,MDAX50,Deutsche Boerse Frankfurt
NEM.F,Nemetschek,MDAX50,Deutsche Boerse Frankfurt
NOEJ.F,NORMA Group SE,SDAX70,Deutsche Boerse Frankfurt
PAH3.F,Porsche SE,DAX40,Deutsche Boerse Frankfurt
PAT.F,PATRIZIA SE,SDAX70,Deutsche Boerse Frankfurt
PCZ.F,ProCredit Holding AG,SDAX70,Deutsche Boerse Frankfurt
PNE3.F,PNE AG,SDAX70,Deutsche Boerse Frankfurt
PSM.F,ProSiebenSat.1 Media SE,SDAX70,Deutsche Boerse Frankfurt
PUM.F,Puma,MDAX50,Deutsche Boerse Frankfurt
QIA.F,Qiagen,DAX40,Deutsche Boerse Frankfurt
RAA.F,Rational,MDAX50,Deutsche Boerse Frankfurt
RDC.F,Redcare Pharmacy,MDAX50,Deutsche Boerse Frankfurt
RHM.F,Rheinmetall,DAX40,Deutsche Boerse Frankfurt
RRTL.F,RTL Group,MDAX50,Deutsche Boerse Frankfurt
RWE.F,RWE,DAX40,Deutsche Boerse Frankfurt
S92.F,SMA Solar Technology AG,SDAX70,Deutsche Boerse Frankfurt
SAP.F,SAP,DAX40,Deutsche Boerse Frankfurt
SAX.F,Ströer,MDAX50,Deutsche Boerse Frankfurt
SBS.F,Stratec SE,SDAX70,Deutsche Boerse Frankfurt
SDF.F,K+S,MDAX50,Deutsche Boerse Frankfurt
SFQ.F,SAF-Holland SE,SDAX70,Deutsche Boerse Frankfurt
SHA0.F,Schaeffler AG,SDAX70,Deutsche Boerse Frankfurt
SHL.F,Siemens Healthineers,DAX40,Deutsche Boerse Frankfurt
SIE.F,Siemens,DAX40,Deutsche Boerse Frankfurt
SIX3.F,Sixt SE,SDAX70,Deutsche Boerse Frankfurt
SPG.F,Springer Nature AG & Co. KGaA,SDAX70,Deutsche Boerse Frankfurt
STM.F,Stabilus,MDAX50,Deutsche Boerse Frankfurt
STO3.F,Sto SE & Co KGaA,SDAX70,Deutsche Boerse Frankfurt
SY1.F,Symrise,DAX40,Deutsche Boerse Frankfurt
SZG.F,Salzgitter AG,SDAX70,Deutsche Boerse Frankfurt
TEG.F,TAG Tegernsee Immobilien und Beteiligung,MDAX50,Deutsche Boerse Frankfurt
TKA.F,ThyssenKrupp,MDAX50,Deutsche Boerse Frankfurt
TLX.F,Talanx,MDAX50,Deutsche Boerse Frankfurt
TMV.F,TeamViewer,MDAX50,Deutsche Boerse Frankfurt
TPE.F,PVA TePla AG,SDAX70,Deutsche Boerse Frankfurt
TUI1.F,TUI,MDAX50,Deutsche Boerse Frankfurt
UTDI.F,United Internet,MDAX50,Deutsche Boerse Frankfurt
VNA.F,Vonovia,DAX40,Deutsche Boerse Frankfurt
VOS.F,Vossloh AG,SDAX70,Deutsche Boerse Frankfurt
VOW3.F,Volkswagen Group,DAX40,Deutsche Boerse Frankfurt
VRV.F,Verve Group SE                N,SDAX70,Deutsche Boerse Frankfurt
WAC.F,Wacker Neuson SE,SDAX70,Deutsche Boerse Frankfurt
WAF.F,Siltronic,MDAX50,Deutsche Boerse Frankfurt
WCH.F,Wacker Chemie,MDAX50,Deutsche Boerse Frankfurt
YSN.F,secunet Security Networks Aktiengesellschaft,SDAX70,Deutsche Boerse Frankfurt
YT2A.F,"Atresmedia Corporación de Medios de Comunicación, S.A.",SDAX70,Deutsche Boerse Frankfurt
ZAL.F,Zalando,DAX40,Deutsche Boerse Frankfurt
ABN.AS,ABN AMRO,AEX25,Euronext Amsterdam
AD.AS,Ahold Delhaize,AEX25,Euronext Amsterdam
ADYEN.AS,Adyen,AEX25,Euronext Amsterdam
AGN.AS,Aegon,AEX25,Euronext Amsterdam
AKZA.AS,AkzoNobel,AEX25,Euronext Amsterdam
ASM.AS,ASM International,AEX25,Euronext Amsterdam
ASML.AS,ASML Holding,AEX25,Euronext Amsterdam
ASRNL.AS,ASR Nederland,AEX25,Euronext Amsterdam
BESI.AS,BE Semiconductors,AEX25,Euronext Amsterdam
DSFIR.AS,DSM Firmenich AG,AEX25,Euronext Amsterdam
EXO.AS,Exor,AEX25,Euronext Amsterdam
HEIA.AS,Heineken,AEX25,Euronext Amsterdam
IMCD.AS,IMCD,AEX25,Euronext Amsterdam
INGA.AS,ING Group,AEX25,Euronext Amsterdam
KPN.AS,KPN,AEX25,Euronext Amsterdam
MT.AS,ArcelorMittal,AEX25,Euronext Amsterdam
NN.AS,NN Group,AEX25,Euronext Amsterdam
PHIA.AS,Philips,AEX25,Euronext Amsterdam
PRX.AS,Prosus,AEX25,Euronext Amsterdam
RAND.AS,Randstad,AEX25,Euronext Amsterdam
REN.AS,RELX,AEX25,Euronext Amsterdam
SHELL.AS,Shell plc,AEX25,Euronext Amsterdam
UMG.AS,Universal Music Group,AEX25,Euronext Amsterdam
UNA.AS,Unilever,AEX25,Euronext Amsterdam
WKL.AS,Wolters Kluwer,AEX25,Euronext Amsterdam
Euronext Amsterdam: APAM.BR,Aperam,BEL20,Euronext Brussels
Euronext Brussels: ABI.BR,AB InBev,BEL20,Euronext Brussels
Euronext Brussels: ACKB.BR,Ackermans & van Haaren,BEL20,Euronext Brussels
Euronext Brussels: AED.BR,Aedifica,BEL20,Euronext Brussels
Euronext Brussels: AGS.BR,Ageas,BEL20,Euronext Brussels
Euronext Brussels: ARGX.BR,arGEN-X [nl],BEL20,Euronext Brussels
Euronext Brussels: AZE.BR,Azelis Group,BEL20,Euronext Brussels
Euronext Brussels: DIE.BR,D'Ieteren,BEL20,Euronext Brussels
Euronext Brussels: ELI.BR,Elia Group,BEL20,Euronext Brussels
Euronext Brussels: GBLB.BR,GBL,BEL20,Euronext Brussels
Euronext Brussels: KBC.BR,KBC,BEL20,Euronext Brussels
Euronext Brussels: LOTB.BR,Lotus Bakeries,BEL20,Euronext Brussels
Euronext Brussels: MELE.BR,Melexis [nl],BEL20,Euronext Brussels
Euronext Brussels: MONT.BR,Montea,BEL20,Euronext Brussels
Euronext Brussels: SOF.BR,Sofina,BEL20,Euronext Brussels
Euronext Brussels: SOLB.BR,Solvay,BEL20,Euronext Brussels
Euronext Brussels: SYENS.BR,Syensqo,BEL20,Euronext Brussels
Euronext Brussels: UCB.BR,UCB,BEL20,Euronext Brussels
Euronext Brussels: UMI.BR,Umicore,BEL20,Euronext Brussels
Euronext Brussels: WDP.BR,WDP [nl],BEL20,Euronext Brussels
Euronext Dublin: A5G.IR,AIB Group,ISEQ20,Euronext Dublin
Euronext Dublin: BIRG.IR,Bank of Ireland,ISEQ20,Euronext Dublin
Euronext Dublin: C5H.IR,Cairn Homes,ISEQ20,Euronext Dublin
Euronext Dublin: DHG.IR,Dalata Hotel Group,ISEQ20,Euronext Dublin
Euronext Dublin: EG7.IR,FBD Holdings,ISEQ20,Euronext Dublin
Euronext Dublin: GL9.IR,Glanbia,ISEQ20,Euronext Dublin
Euronext Dublin: GRP.IR,Greencoat Renewables,ISEQ20,Euronext Dublin
Euronext Dublin: GVR.IR,Glenveagh Properties,ISEQ20,Euronext Dublin
Euronext Dublin: GYQ.IR,FD Technologies,ISEQ20,Euronext Dublin
Euronext Dublin: IR5B.IR,Irish Continental Group,ISEQ20,Euronext Dublin
Euronext Dublin: IRES.IR,Irish Residential Properties REIT,ISEQ20,Euronext Dublin
Euronext Dublin: KMR.IR,Kenmare Resources,ISEQ20,Euronext Dublin
Euronext Dublin: KRX.IR,Kingspan Group,ISEQ20,Euronext Dublin
Euronext Dublin: KRZ.IR,Kerry Group,ISEQ20,Euronext Dublin
Euronext Dublin: MLC.IR,Malin Corp.,ISEQ20,Euronext Dublin
Euronext Dublin: OIZ.IR,Origin Enterprises,ISEQ20,Euronext Dublin
Euronext Dublin: PTSB.IR,Permanent TSB,ISEQ20,Euronext Dublin
Euronext Dublin: RY4C.IR,Ryanair Holdings,ISEQ20,Euronext Dublin
Euronext Dublin: SK3.IR,Smurfit Kappa,ISEQ20,Euronext Dublin
Euronext Dublin: UPR.IR,Uniphar,ISEQ20,Euronext Dublin
ALTR.LS,Altri,PSI20,Euronext Lisbon
BCP.LS,Banco Comercial Português,PSI20,Euronext Lisbon
COR.LS,Corticeira Amorim,PSI20,Euronext Lisbon
CTT.LS,CTT Correios de Portugal,PSI20,Euronext Lisbon
EDP.LS,Energias de Portugal,PSI20,Euronext Lisbon
EDPR.LS,EDP Renováveis,PSI20,Euronext Lisbon
EGL.LS,Mota-Engil,PSI20,Euronext Lisbon
GALP.LS,Galp Energia,PSI20,Euronext Lisbon
IBS.LS,Ibersol,PSI20,Euronext Lisbon
JMT.LS,Jerónimo Martins,PSI20,Euronext Lisbon
NBA.LS,Novabase,PSI20,Euronext Lisbon
NOS.LS,NOS,PSI20,Euronext Lisbon
NVG.LS,The Navigator Company,PSI20,Euronext Lisbon
PHR.LS,Pharol,PSI20,Euronext Lisbon
RENE.LS,Redes Energéticas Nacionais,PSI20,Euronext Lisbon
SEM.LS,Semapa,PSI20,Euronext Lisbon
SON.LS,Sonae,PSI20,Euronext Lisbon
SONC.LS,Sonae Capital,PSI20,Euronext Lisbon
AC.PA,Accor,CAC40,Euronext Paris
ACA.PA,Crédit Agricole,CAC40,Euronext Paris
AI.PA,Air Liquide,CAC40,Euronext Paris
AIR.PA,Airbus,CAC40,Euronext Paris
BN.PA,Danone,CAC40,Euronext Paris
BNP.PA,BNP Paribas,CAC40,Euronext Paris
BVI.PA,Bureau Veritas,CAC40,Euronext Paris
CA.PA,Carrefour,CAC40,Euronext Paris
CAP.PA,Capgemini,CAC40,Euronext Paris
CS.PA,Axa,CAC40,Euronext Paris
DG.PA,Vinci,CAC40,Euronext Paris
DSY.PA,Dassault Systèmes,CAC40,Euronext Paris
EDEN.PA,Edenred,CAC40,Euronext Paris
EL.PA,EssilorLuxottica,CAC40,Euronext Paris
EN.PA,Bouygues,CAC40,Euronext Paris
ENGI.PA,Engie,CAC40,Euronext Paris
ERF.PA,Eurofins Scientific,CAC40,Euronext Paris
GLE.PA,Société Générale,CAC40,Euronext Paris
HO.PA,Thales,CAC40,Euronext Paris
KER.PA,Kering,CAC40,Euronext Paris
LR.PA,Legrand,CAC40,Euronext Paris
MC.PA,LVMH,CAC40,Euronext Paris
ML.PA,Michelin,CAC40,Euronext Paris
MT.PA,ArcelorMittal,CAC40,Euronext Paris
OR.PA,L'Oréal,CAC40,Euronext Paris
ORA.PA,Orange,CAC40,Euronext Paris
PUB.PA,Publicis,CAC40,Euronext Paris
RI.PA,Pernod Ricard,CAC40,Euronext Paris
RMS.PA,Hermès,CAC40,Euronext Paris
RNO.PA,Renault,CAC40,Euronext Paris
SAF.PA,Safran,CAC40,Euronext Paris
SAN.PA,Sanofi,CAC40,Euronext Paris
SGO.PA,Saint-Gobain,CAC40,Euronext Paris
STLAP.PA,Stellantis,CAC40,Euronext Paris
STMPA.PA,STMicroelectronics,CAC40,Euronext Paris
SU.PA,Schneider Electric,CAC40,Euronext Paris
TEP.PA,Teleperformance,CAC40,Euronext Paris
TTE.PA,TotalEnergies,CAC40,Euronext Paris
URW.PA,Unibail-Rodamco-Westfield,CAC40,Euronext Paris
VIE.PA,Veolia,CAC40,Euronext Paris
3IN.L,3i Infrastructure,FTSE250,London Stock Exchange
AAF.L,Airtel Africa,FTSE100,London Stock Exchange
AAL.L,Anglo American plc,FTSE100,London Stock Exchange
AAS.L,Aberdeen Asia Focus,FTSE250,London Stock Exchange
ABDN.L,Aberdeen Group,FTSE250,London Stock Exchange
ABF.L,Associated British Foods,FTSE100,London Stock Exchange
ADM.L,Admiral Group,FTSE100,London Stock Exchange
AEP.L,AEP Plantations,FTSE250,London Stock Exchange
AEWU.L,AEW UK REIT,FTSESmallCap,London Stock Exchange
AGT.L,AVI Global Trust,FTSE250,London Stock Exchange
AIE.L,Ashoka India Equity Investment Trust,FTSE250,London Stock Exchange
AJB.L,AJ Bell,FTSE250,London Stock Exchange
ALFA.L,Alfa Financial Software,FTSE250,London Stock Exchange
ALW.L,Alliance Witan,FTSE100,London Stock Exchange
AML.L,Aston Martin Lagonda,FTSE250,London Stock Exchange
ANTO.L,Antofagasta plc,FTSE100,London Stock Exchange
AO.L,AO World,FTSE250,London Stock Exchange
APN.L,Applied Nutrition,FTSE250,London Stock Exchange
APTD.L,Aptitude Software Group,FTSESmallCap,London Stock Exchange
ASHM.L,Ashmore Group,FTSE250,London Stock Exchange
ASIT.L,Aberforth Split Level Income Trust,FTSESmallCap,London Stock Exchange
ASL.L,Aberforth Smaller Companies Trust,FTSE250,London Stock Exchange
ATR.L,Schroder Asian Total Return Investment Company,FTSE250,London Stock Exchange
ATS.L,Artemis Alpha Trust,FTSESmallCap,London Stock Exchange
ATT.L,Allianz Technology Trust,FTSE250,London Stock Exchange
ATYM.L,Atalaya Mining,FTSE250,London Stock Exchange
AUGM.L,Augmentum Fintech,FTSESmallCap,London Stock Exchange
AUTO.L,Autotrader Group,FTSE100,London Stock Exchange
AV.L,Aviva,FTSE100,London Stock Exchange
AVON.L,Avon Technologies,FTSE250,London Stock Exchange
AZN.L,AstraZeneca,FTSE100,London Stock Exchange
BA.L,BAE Systems,FTSE100,London Stock Exchange
BAB.L,Babcock International,FTSE100,London Stock Exchange
BAG.L,A.G. Barr,FTSE250,London Stock Exchange
BARC.L,Barclays,FTSE100,London Stock Exchange
BATS.L,British American Tobacco,FTSE100,London Stock Exchange
BBOX.L,Tritax Big Box REIT,FTSE100,London Stock Exchange
BBY.L,Balfour Beatty,FTSE250,London Stock Exchange
BCG.L,Baltic Classifieds,FTSE250,London Stock Exchange
BEZ.L,Beazley,FTSE100,London Stock Exchange
BGEO.L,Lion Finance Group,FTSE100,London Stock Exchange
BGEU.L,Baillie Gifford European Growth Trust,FTSESmallCap,London Stock Exchange
BGFD.L,Baillie Gifford Japan Trust,FTSE250,London Stock Exchange
BGS.L,Baillie Gifford Shin Nippon,FTSESmallCap,London Stock Exchange
BHMG.L,BH Macro,FTSE250,London Stock Exchange
BKG.L,Berkeley Group Holdings,FTSE100,London Stock Exchange
BLND.L,British Land,FTSE100,London Stock Exchange
BME.L,B&M,FTSE250,London Stock Exchange
BNKR.L,Bankers Investment Trust,FTSE250,London Stock Exchange
BNZL.L,Bunzl,FTSE100,London Stock Exchange
BOOT.L,Henry Boot,FTSESmallCap,London Stock Exchange
BOWL.L,Hollywood Bowl Group,FTSE250,London Stock Exchange
BOY.L,Bodycote,FTSE250,London Stock Exchange
BP.L,BP,FTSE100,London Stock Exchange
BPCR.L,Biopharma Credit,FTSE250,London Stock Exchange
BPT.L,Bridgepoint Group,FTSE250,London Stock Exchange
BRBY.L,Burberry Group,FTSE100,London Stock Exchange
BREE.L,Breedon Group,FTSE250,London Stock Exchange
