quarter,segment,market,holds,trading_revenue,other_income,total_income,fees_commission,operating_expense,total_expense,pbt,tax,pat
2021Q1,Japan Equities,JP,6,66371.46083485715,1000.0,67371.46083485715,9000.0,5000.0,14000.0,53371.46083485715,10842.41226860123,42529.04856625592
2021Q2,Japan Equities,JP,7,-9258.192091445086,1000.0,-8258.192091445086,10500.0,5000.0,15500.0,-23758.192091445086,0.0,-23758.192091445086
2021Q3,Japan Equities,JP,6,49081.06972934649,1000.0,50081.06972934649,9000.0,5000.0,14000.0,36081.06972934649,7329.869315516739,28751.200413829753
2021Q4,Japan Equities,JP,7,-28920.07074963874,1000.0,-27920.07074963874,10500.0,5000.0,15500.0,-43420.07074963874,0.0,-43420.07074963874
2022Q1,Japan Equities,JP,6,-9155.294371208733,1000.0,-8155.294371208733,9000.0,5000.0,14000.0,-22155.294371208733,0.0,-22155.294371208733
2022Q2,Japan Equities,JP,7,-26197.42529917101,1000.0,-25197.42529917101,10500.0,5000.0,15500.0,-40697.42529917101,0.0,-40697.42529917101
2022Q3,Japan Equities,JP,7,49676.76097378338,1000.0,50676.76097378338,10500.0,5000.0,15500.0,35176.76097378338,7146.158991824093,28030.601981959284
2022Q4,Japan Equities,JP,6,-11918.530610532433,1000.0,-10918.530610532433,9000.0,5000.0,14000.0,-24918.530610532434,0.0,-24918.530610532434
2023Q1,Japan Equities,JP,7,105350.96131656281,1000.0,106350.96131656281,10500.0,5000.0,15500.0,90850.96131656281,18456.372791459733,72394.58852510308
2023Q2,Japan Equities,JP,6,84012.581175026,1000.0,85012.581175026,9000.0,5000.0,14000.0,71012.581175026,14426.205865706532,56586.37530931947
2023Q3,Japan Equities,JP,7,33167.63529735284,1000.0,34167.63529735284,10500.0,5000.0,15500.0,18667.63529735284,3792.3301106572294,14875.305186695612
2023Q4,Japan Equities,JP,6,47728.268326768295,1000.0,48728.268326768295,9000.0,5000.0,14000.0,34728.268326768295,7055.047710582979,27673.220616185317
2024Q1,Japan Equities,JP,7,111012.88559216014,1000.0,112012.88559216014,10500.0,5000.0,15500.0,96512.88559216014,19606.59270804733,76906.2928841128
2024Q2,Japan Equities,JP,6,15265.12793181238,1000.0,16265.12793181238,9000.0,5000.0,14000.0,2265.1279318123798,460.16073934768497,1804.9671924646948
2024Q3,Japan Equities,JP,7,-24458.316696755646,1000.0,-23458.316696755646,10500.0,5000.0,15500.0,-38958.316696755646,0.0,-38958.316696755646
2024Q4,Japan Equities,JP,6,33706.96982679031,1000.0,34706.96982679031,9000.0,5000.0,14000.0,20706.969826790308,4206.620920312451,16500.348906477855
2025Q1,Japan Equities,JP,7,-64081.058619130185,1000.0,-63081.058619130185,10500.0,5000.0,15500.0,-78581.05861913018,0.0,-78581.05861913018
2025Q2,Japan Equities,JP,6,149243.93165379856,1000.0,150243.93165379856,9000.0,5000.0,14000.0,136243.93165379856,27677.954715469175,108565.97693832938
2025Q3,Japan Equities,JP,7,112067.44459236745,1000.0,113067.44459236745,10500.0,5000.0,15500.0,97567.44459236745,19820.826368939448,77746.618223428
2025Q4,Japan Equities,JP,6,91896.70143862038,1000.0,92896.70143862038,9000.0,5000.0,14000.0,78896.70143862038,16027.86489725573,62868.83654136465
2026Q1,Japan Equities,JP,7,144807.856333918,1000.0,145807.856333918,10500.0,5000.0,15500.0,130307.856333918,26472.04101423544,103835.81531968256
2026Q2,Japan Equities,JP,6,48789.16130028512,1000.0,49789.16130028512,9000.0,5000.0,14000.0,35789.16130028512,7270.568118152923,28518.5931821322
2026Q3,Japan Equities,JP,1,-60172.1800009047,1000.0,-59172.1800009047,1500.0,5000.0,6500.0,-65672.1800009047,0.0,-65672.1800009047
2016Q3,Korea Equities,KR,5,-42997.6248580415,3200.0,-39797.6248580415,15000.0,5000.0,20000.0,-59797.6248580415,0.0,-59797.6248580415
2016Q4,Korea Equities,KR,6,24035.923420309933,3200.0,27235.923420309933,18000.0,5000.0,23000.0,4235.923420309933,0.0,4235.923420309933
2017Q1,Korea Equities,KR,7,-62338.328254645945,3200.0,-59138.328254645945,21000.0,5000.0,26000.0,-85138.32825464595,0.0,-85138.32825464595
2017Q2,Korea Equities,KR,6,60337.86750344097,3200.0,63537.86750344097,18000.0,5000.0,23000.0,40537.86750344097,0.0,40537.86750344097
2017Q3,Korea Equities,KR,7,-84781.36722471582,3200.0,-81581.36722471582,21000.0,5000.0,26000.0,-107581.36722471582,0.0,-107581.36722471582
2017Q4,Korea Equities,KR,6,125317.28293601784,3200.0,128517.28293601784,18000.0,5000.0,23000.0,105517.28293601784,0.0,105517.28293601784
2018Q1,Korea Equities,KR,6,47513.16475626251,3200.0,50713.16475626251,18000.0,5000.0,23000.0,27713.164756262508,0.0,27713.164756262508
2018Q2,Korea Equities,KR,7,-44573.22017501201,3200.0,-41373.22017501201,21000.0,5000.0,26000.0,-67373.22017501201,0.0,-67373.22017501201
2018Q3,Korea Equities,KR,6,-33481.071645341675,3200.0,-30281.071645341675,18000.0,5000.0,23000.0,-53281.071645341675,0.0,-53281.071645341675
2018Q4,Korea Equities,KR,7,-91034.79979902746,3200.0,-87834.79979902746,21000.0,5000.0,26000.0,-113834.79979902746,0.0,-113834.79979902746
2019Q1,Korea Equities,KR,6,84977.54264001852,3200.0,88177.54264001852,18000.0,5000.0,23000.0,65177.542640018524,0.0,65177.542640018524
2019Q2,Korea Equities,KR,7,-55172.26334488261,3200.0,-51972.26334488261,21000.0,5000.0,26000.0,-77972.26334488261,0.0,-77972.26334488261
2019Q3,Korea Equities,KR,6,-61900.300409226336,3200.0,-58700.300409226336,18000.0,5000.0,23000.0,-81700.30040922633,0.0,-81700.30040922633
2019Q4,Korea Equities,KR,7,62026.99359751999,3200.0,65226.99359751999,21000.0,5000.0,26000.0,39226.99359751999,0.0,39226.99359751999
2020Q1,Korea Equities,KR,6,-39867.432744782214,3200.0,-36667.432744782214,18000.0,5000.0,23000.0,-59667.432744782214,0.0,-59667.432744782214
2020Q2,Korea Equities,KR,7,322250.4901493484,3200.0,325450.4901493484,21000.0,5000.0,26000.0,299450.4901493484,0.0,299450.4901493484
2020Q3,Korea Equities,KR,6,100744.61274836038,3200.0,103944.61274836038,18000.0,5000.0,23000.0,80944.61274836038,0.0,80944.61274836038
2020Q4,Korea Equities,KR,7,214063.44187831812,3200.0,217263.44187831812,21000.0,5000.0,26000.0,191263.44187831812,0.0,191263.44187831812
2021Q1,Korea Equities,KR,6,60048.32309906893,3200.0,63248.32309906893,18000.0,5000.0,23000.0,40248.32309906893,0.0,40248.32309906893
2021Q2,Korea Equities,KR,7,89671.53900332603,3200.0,92871.53900332603,21000.0,5000.0,26000.0,66871.53900332603,0.0,66871.53900332603
2021Q3,Korea Equities,KR,6,-27500.903770650268,3200.0,-24300.903770650268,18000.0,5000.0,23000.0,-47300.90377065027,0.0,-47300.90377065027
2021Q4,Korea Equities,KR,7,45540.44278099356,3200.0,48740.44278099356,21000.0,5000.0,26000.0,22740.44278099356,0.0,22740.44278099356
2022Q1,Korea Equities,KR,6,-64500.010518259056,3200.0,-61300.010518259056,18000.0,5000.0,23000.0,-84300.01051825905,0.0,-84300.01051825905
2022Q2,Korea Equities,KR,7,-154388.36914211314,3200.0,-151188.36914211314,21000.0,5000.0,26000.0,-177188.36914211314,0.0,-177188.36914211314
2022Q3,Korea Equities,KR,7,-145127.91493616643,3200.0,-141927.91493616643,21000.0,5000.0,26000.0,-167927.91493616643,0.0,-167927.91493616643
2022Q4,Korea Equities,KR,6,74182.232199567,3200.0,77382.232199567,18000.0,5000.0,23000.0,54382.232199567006,0.0,54382.232199567006
2023Q1,Korea Equities,KR,7,164548.7999882025,3200.0,167748.7999882025,21000.0,5000.0,26000.0,141748.7999882025,0.0,141748.7999882025
2023Q2,Korea Equities,KR,6,-6659.404059652528,3200.0,-3459.4040596525283,18000.0,5000.0,23000.0,-26459.40405965253,0.0,-26459.40405965253
2023Q3,Korea Equities,KR,7,-95285.50893349807,3200.0,-92085.50893349807,21000.0,5000.0,26000.0,-118085.50893349807,0.0,-118085.50893349807
2023Q4,Korea Equities,KR,6,60640.323651309336,3200.0,63840.323651309336,18000.0,5000.0,23000.0,40840.323651309336,0.0,40840.323651309336
2024Q1,Korea Equities,KR,7,25817.62340066856,3200.0,29017.62340066856,21000.0,5000.0,26000.0,3017.623400668559,0.0,3017.623400668559
2024Q2,Korea Equities,KR,6,24995.48497244045,3200.0,28195.48497244045,18000.0,5000.0,23000.0,5195.4849724404485,0.0,5195.4849724404485
2024Q3,Korea Equities,KR,7,-104840.88330802867,3200.0,-101640.88330802867,21000.0,5000.0,26000.0,-127640.88330802867,0.0,-127640.88330802867
2024Q4,Korea Equities,KR,6,-39156.232372332466,3200.0,-35956.232372332466,18000.0,5000.0,23000.0,-58956.232372332466,0.0,-58956.232372332466
2025Q1,Korea Equities,KR,7,-918.1777257982887,3200.0,2281.8222742017115,21000.0,5000.0,26000.0,-23718.17772579829,0.0,-23718.17772579829
2025Q2,Korea Equities,KR,6,179272.35518747833,3200.0,182472.35518747833,18000.0,5000.0,23000.0,159472.35518747833,0.0,159472.35518747833
2025Q3,Korea Equities,KR,7,97804.9377504352,3200.0,101004.9377504352,21000.0,5000.0,26000.0,75004.9377504352,0.0,75004.9377504352
2025Q4,Korea Equities,KR,6,9219.532183532376,3200.0,12419.532183532376,18000.0,5000.0,23000.0,-10580.467816467624,0.0,-10580.467816467624
2026Q1,Korea Equities,KR,7,142994.57362964004,3200.0,146194.57362964004,21000.0,5000.0,26000.0,120194.57362964004,0.0,120194.57362964004
2026Q2,Korea Equities,KR,6,-246792.24291842934,3200.0,-243592.24291842934,18000.0,5000.0,23000.0,-266592.2429184293,0.0,-266592.2429184293
2026Q3,Korea Equities,KR,1,-58758.34452957102,3200.0,-55558.34452957102,3000.0,5000.0,8000.0,-63558.34452957102,0.0,-63558.34452957102
2016Q4,Europe Equities,EU,1,23156.854071767237,2500.0,25656.854071767237,2500.0,5000.0,7500.0,18156.854071767237,4788.8702614286085,13367.983810338628
2017Q1,Europe Equities,EU,7,51972.5475230743,2500.0,54472.5475230743,17500.0,5000.0,22500.0,31972.547523074303,8432.759409210847,23539.788113863455
2017Q2,Europe Equities,EU,6,39792.39823473083,2500.0,42292.39823473083,15000.0,5000.0,20000.0,22292.398234730827,5879.620034410255,16412.778200320572
2017Q3,Europe Equities,EU,7,68535.78118702094,2500.0,71035.78118702094,17500.0,5000.0,22500.0,48535.78118702094,12801.312288076773,35734.468898944164
2017Q4,Europe Equities,EU,6,44714.284671063375,2500.0,47214.284671063375,15000.0,5000.0,20000.0,27214.284671063375,7177.767581992965,20036.51708907041
2018Q1,Europe Equities,EU,7,-35712.221917633295,2500.0,-33212.221917633295,17500.0,5000.0,22500.0,-55712.221917633295,0.0,-55712.221917633295
2018Q2,Europe Equities,EU,6,33886.376669320154,2500.0,36386.376669320154,15000.0,5000.0,20000.0,16386.376669320154,4321.90684653319,12064.469822786963
2018Q3,Europe Equities,EU,7,-56905.974727262044,2500.0,-54405.974727262044,17500.0,5000.0,22500.0,-76905.97472726204,0.0,-76905.97472726204
2018Q4,Europe Equities,EU,6,-56175.44066436639,2500.0,-53675.44066436639,15000.0,5000.0,20000.0,-73675.44066436638,0.0,-73675.44066436638
2019Q1,Europe Equities,EU,7,115751.09212478968,2500.0,118251.09212478968,17500.0,5000.0,22500.0,95751.09212478968,25254.350547913276,70496.7415768764
2019Q2,Europe Equities,EU,6,30061.05944152227,2500.0,32561.05944152227,15000.0,5000.0,20000.0,12561.05944152227,3312.9794277014985,9248.08001382077
2019Q3,Europe Equities,EU,7,4327.125616743715,2500.0,6827.125616743715,17500.0,5000.0,22500.0,-15672.874383256285,0.0,-15672.874383256285
2019Q4,Europe Equities,EU,6,88825.32664031963,2500.0,91325.32664031963,15000.0,5000.0,20000.0,71325.32664031963,18812.0549013843,52513.271738935335
2020Q1,Europe Equities,EU,7,-213519.1723845839,2500.0,-211019.1723845839,17500.0,5000.0,22500.0,-233519.1723845839,0.0,-233519.1723845839
2020Q2,Europe Equities,EU,6,171380.97134176394,2500.0,173880.97134176394,15000.0,5000.0,20000.0,153880.97134176394,40586.10619139024,113294.8651503737
2020Q3,Europe Equities,EU,7,134277.0212396726,2500.0,136777.0212396726,17500.0,5000.0,22500.0,114277.02123967261,30140.56435196365,84136.45688770896
2020Q4,Europe Equities,EU,6,132105.994815281,2500.0,134605.994815281,15000.0,5000.0,20000.0,114605.99481528101,30227.331132530366,84378.66368275064
2021Q1,Europe Equities,EU,7,113526.2743197518,2500.0,116026.2743197518,17500.0,5000.0,22500.0,93526.2743197518,24667.554851834535,68858.71946791727
