Product,Contract,PreviousDaySettlementPrice
OGBL,OGBL SI 20260925 PS AM C 122.00 0,4.25
OGBL,OGBL SI 20260710 PS AM C 118.50 0,8.49
OGBL,OGBL SI 20261120 PS AM P 125.50 0,1.16
OGBL,OGBL SI 20260925 PS AM C 130.00 0,0.12
OGBL,OGBL SI 20260710 PS AM C 124.00 0,2.99
OGBL,OGBL SI 20260821 PS AM C 124.50 0,2.64
OGBL,OGBL SI 20260724 PS AM P 130.00 0,3.03
OGBL,OGBL SI 20260724 PS AM C 134.50 0,0.01
OGBL,OGBL SI 20260925 PS AM C 119.00 0,7.16
OGBL,OGBL SI 20260731 PS AM C 127.50 0,0.33
OGBL,OGBL SI 20260821 PS AM C 126.00 0,1.39
OGBL,OGBL SI 20260717 PS AM C 131.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 131.50 0,0.03
OGBL,OGBL SI 20260731 PS AM P 119.00 0,0.01
OGBL,OGBL SI 20260717 PS AM C 123.50 0,3.5
OGBL,OGBL SI 20261120 PS AM C 119.50 0,6.75
OGBL,OGBL SI 20260710 PS AM P 127.50 0,0.59
OGBL,OGBL SI 20260925 PS AM C 120.00 0,6.18
OGBL,OGBL SI 20260717 PS AM C 136.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 124.00 0,3.1
OGBL,OGBL SI 20261120 PS AM C 133.50 0,0.1
OGBL,OGBL SI 20260807 PS AM C 122.00 0,5.02
OGBL,OGBL SI 20260717 PS AM C 121.00 0,5.99
OGBL,OGBL SI 20260731 PS AM P 120.00 0,0.01
OGBL,OGBL SI 20260731 PS AM C 128.50 0,0.11
OGBL,OGBL SI 20260710 PS AM P 123.50 0,0.01
OGBL,OGBL SI 20261120 PS AM C 122.00 0,4.44
OGBL,OGBL SI 20260821 PS AM P 134.00 0,7.02
OGBL,OGBL SI 20260731 PS AM C 130.00 0,0.02
OGBL,OGBL SI 20260807 PS AM C 122.50 0,4.52
OGBL,OGBL SI 20260724 PS AM P 126.50 0,0.26
OGBL,OGBL SI 20260821 PS AM P 116.00 0,0.01
OGBL,OGBL SI 20261120 PS AM P 133.00 0,7
OGBL,OGBL SI 20260710 PS AM P 129.00 0,2.01
OGBL,OGBL SI 20260717 PS AM C 123.00 0,4
OGBL,OGBL SI 20260717 PS AM P 133.50 0,6.51
OGBL,OGBL SI 20260925 PS AM C 128.50 0,0.28
OGBL,OGBL SI 20260710 PS AM P 131.00 0,4.01
OGBL,OGBL SI 20260821 PS AM P 127.50 0,1.04
OGBL,OGBL SI 20260731 PS AM P 117.50 0,0.01
OGBL,OGBL SI 20260821 PS AM P 130.50 0,3.57
OGBL,OGBL SI 20260807 PS AM C 129.00 0,0.09
OGBL,OGBL SI 20260807 PS AM P 134.00 0,7.01
OGBL,OGBL SI 20260731 PS AM P 137.50 0,10.51
OGBL,OGBL SI 20261120 PS AM C 118.00 0,8.2
OGBL,OGBL SI 20260724 PS AM C 118.50 0,8.49
OGBL,OGBL SI 20260717 PS AM P 125.50 0,0.05
OGBL,OGBL SI 20260717 PS AM C 128.00 0,0.06
OGBL,OGBL SI 20260731 PS AM C 118.50 0,8.5
OGBL,OGBL SI 20261120 PS AM C 121.50 0,4.89
OGBL,OGBL SI 20260724 PS AM P 122.50 0,0.01
OGBL,OGBL SI 20260724 PS AM P 132.00 0,5.01
OGBL,OGBL SI 20260717 PS AM C 135.50 0,0.01
OGBL,OGBL SI 20260925 PS AM P 130.00 0,4.01
OGBL,OGBL SI 20260925 PS AM P 133.00 0,6.93
OGBL,OGBL SI 20260807 PS AM P 127.50 0,0.92
OGBL,OGBL SI 20260724 PS AM C 122.00 0,5
OGBL,OGBL SI 20260925 PS AM C 128.00 0,0.37
OGBL,OGBL SI 20260710 PS AM C 121.50 0,5.49
OGBL,OGBL SI 20260710 PS AM P 121.50 0,0.01
OGBL,OGBL SI 20261120 PS AM P 135.00 0,8.96
OGBL,OGBL SI 20260807 PS AM P 129.00 0,2.1
OGBL,OGBL SI 20261120 PS AM P 134.50 0,8.46
OGBL,OGBL SI 20260925 PS AM P 117.50 0,0.04
OGBL,OGBL SI 20260710 PS AM C 122.50 0,4.49
OGBL,OGBL SI 20260731 PS AM C 136.50 0,0.01
OGBL,OGBL SI 20260724 PS AM P 129.50 0,2.53
OGBL,OGBL SI 20260807 PS AM P 119.50 0,0.01
OGBL,OGBL SI 20261120 PS AM C 118.50 0,7.71
OGBL,OGBL SI 20260724 PS AM P 125.50 0,0.08
OGBL,OGBL SI 20260724 PS AM C 120.00 0,7
OGBL,OGBL SI 20261120 PS AM C 116.50 0,9.67
OGBL,OGBL SI 20260717 PS AM P 136.50 0,9.51
OGBL,OGBL SI 20260710 PS AM P 122.50 0,0.01
OGBL,OGBL SI 20260807 PS AM P 136.00 0,9.01
OGBL,OGBL SI 20260821 PS AM C 125.50 0,1.77
OGBL,OGBL SI 20260821 PS AM P 124.50 0,0.15
OGBL,OGBL SI 20261120 PS AM C 117.50 0,8.69
OGBL,OGBL SI 20260724 PS AM C 126.50 0,0.75
OGBL,OGBL SI 20260821 PS AM P 121.50 0,0.04
OGBL,OGBL SI 20260731 PS AM P 120.50 0,0.01
OGBL,OGBL SI 20260724 PS AM C 132.50 0,0.01
OGBL,OGBL SI 20261120 PS AM C 121.00 0,5.34
OGBL,OGBL SI 20260925 PS AM C 119.50 0,6.67
OGBL,OGBL SI 20260710 PS AM P 126.00 0,0.04
OGBL,OGBL SI 20260925 PS AM P 125.50 0,0.78
OGBL,OGBL SI 20260807 PS AM C 131.50 0,0.01
OGBL,OGBL SI 20260925 PS AM C 124.50 0,2.08
OGBL,OGBL SI 20261120 PS AM C 134.50 0,0.07
OGBL,OGBL SI 20260807 PS AM P 117.50 0,0.01
OGBL,OGBL SI 20260925 PS AM P 123.00 0,0.22
OGBL,OGBL SI 20260710 PS AM C 121.00 0,5.99
OGBL,OGBL SI 20260724 PS AM P 137.50 0,10.51
OGBL,OGBL SI 20260731 PS AM P 134.50 0,7.51
OGBL,OGBL SI 20260717 PS AM P 120.50 0,0.01
OGBL,OGBL SI 20261120 PS AM P 118.50 0,0.1
OGBL,OGBL SI 20260821 PS AM P 118.00 0,0.02
OGBL,OGBL SI 20260925 PS AM C 126.50 0,0.85
OGBL,OGBL SI 20261120 PS AM C 120.50 0,5.8
OGBL,OGBL SI 20260821 PS AM C 123.00 0,4.06
OGBL,OGBL SI 20260724 PS AM P 134.00 0,7.01
OGBL,OGBL SI 20260724 PS AM P 119.50 0,0.01
OGBL,OGBL SI 20261120 PS AM C 133.00 0,0.11
OGBL,OGBL SI 20260724 PS AM P 133.00 0,6.01
OGBL,OGBL SI 20261120 PS AM C 134.00 0,0.08
OGBL,OGBL SI 20260717 PS AM P 118.50 0,0.01
OGBL,OGBL SI 20260717 PS AM P 134.00 0,7.01
OGBL,OGBL SI 20260807 PS AM C 127.50 0,0.41
OGBL,OGBL SI 20260807 PS AM C 120.00 0,7
OGBL,OGBL SI 20260821 PS AM C 135.00 0,0.01
OGBL,OGBL SI 20260724 PS AM P 131.00 0,4.02
OGBL,OGBL SI 20260724 PS AM C 121.00 0,6
OGBL,OGBL SI 20261120 PS AM C 130.50 0,0.26
OGBL,OGBL SI 20260821 PS AM C 118.50 0,8.51
OGBL,OGBL SI 20260731 PS AM C 135.50 0,0.01
OGBL,OGBL SI 20260807 PS AM P 137.50 0,10.51
OGBL,OGBL SI 20260821 PS AM C 119.00 0,8.01
OGBL,OGBL SI 20260724 PS AM P 118.00 0,0.01
OGBL,OGBL SI 20260717 PS AM C 130.50 0,0.01
OGBL,OGBL SI 20260925 PS AM C 133.00 0,0.04
OGBL,OGBL SI 20260807 PS AM P 120.00 0,0.01
OGBL,OGBL SI 20260821 PS AM P 124.00 0,0.11
OGBL,OGBL SI 20260807 PS AM C 128.00 0,0.25
OGBL,OGBL SI 20260724 PS AM C 127.50 0,0.24
OGBL,OGBL SI 20260710 PS AM C 132.50 0,0.01
OGBL,OGBL SI 20260731 PS AM C 125.00 0,2.07
OGBL,OGBL SI 20260724 PS AM P 132.50 0,5.51
OGBL,OGBL SI 20260724 PS AM P 136.50 0,9.51
OGBL,OGBL SI 20260710 PS AM P 137.00 0,10.01
OGBL,OGBL SI 20260731 PS AM C 121.00 0,6
OGBL,OGBL SI 20260717 PS AM P 130.00 0,3.02
OGBL,OGBL SI 20260731 PS AM C 122.50 0,4.51
OGBL,OGBL SI 20260925 PS AM C 118.00 0,8.15
OGBL,OGBL SI 20260717 PS AM P 119.50 0,0.01
OGBL,OGBL SI 20260731 PS AM C 117.50 0,9.5
OGBL,OGBL SI 20260807 PS AM C 123.50 0,3.54
OGBL,OGBL SI 20260807 PS AM C 125.50 0,1.67
OGBL,OGBL SI 20260821 PS AM C 136.50 0,0.01
OGBL,OGBL SI 20260821 PS AM P 136.00 0,9.02
OGBL,OGBL SI 20260731 PS AM P 127.00 0,0.56
OGBL,OGBL SI 20260710 PS AM C 128.50 0,0.01
OGBL,OGBL SI 20260717 PS AM C 118.00 0,8.99
OGBL,OGBL SI 20260731 PS AM P 125.00 0,0.08
OGBL,OGBL SI 20260717 PS AM C 125.50 0,1.54
OGBL,OGBL SI 20260731 PS AM P 126.50 0,0.35
OGBL,OGBL SI 20260724 PS AM P 127.50 0,0.75
OGBL,OGBL SI 20260717 PS AM C 134.00 0,0.01
OGBL,OGBL SI 20260925 PS AM C 117.50 0,8.65
OGBL,OGBL SI 20260710 PS AM P 125.50 0,0.02
OGBL,OGBL SI 20260724 PS AM C 119.00 0,7.99
OGBL,OGBL SI 20260821 PS AM C 123.50 0,3.58
OGBL,OGBL SI 20260724 PS AM C 131.50 0,0.01
OGBL,OGBL SI 20260731 PS AM P 124.50 0,0.06
OGBL,OGBL SI 20260710 PS AM C 126.50 0,0.59
OGBL,OGBL SI 20260724 PS AM C 123.00 0,4.01
OGBL,OGBL SI 20261120 PS AM P 127.00 0,1.9
OGBL,OGBL SI 20260731 PS AM P 136.00 0,9.01
OGBL,OGBL SI 20260717 PS AM P 124.50 0,0.02
OGBL,OGBL SI 20260925 PS AM C 116.00 0,
OGBL,OGBL SI 20260731 PS AM P 121.50 0,0.01
OGBL,OGBL SI 20260807 PS AM P 125.50 0,0.18
OGBL,OGBL SI 20260925 PS AM P 128.00 0,2.26
OGBL,OGBL SI 20260807 PS AM C 135.50 0,0.01
OGBL,OGBL SI 20260925 PS AM P 130.50 0,4.49
OGBL,OGBL SI 20260710 PS AM C 136.00 0,0.01
OGBL,OGBL SI 20260724 PS AM P 129.00 0,2.05
OGBL,OGBL SI 20260807 PS AM C 137.00 0,0.01
OGBL,OGBL SI 20260717 PS AM P 135.50 0,8.51
OGBL,OGBL SI 20260717 PS AM P 128.50 0,1.54
OGBL,OGBL SI 20260821 PS AM P 119.50 0,0.03
OGBL,OGBL SI 20260807 PS AM P 118.50 0,0.01
OGBL,OGBL SI 20260925 PS AM P 119.00 0,0.05
OGBL,OGBL SI 20260731 PS AM C 137.50 0,0.01
OGBL,OGBL SI 20260717 PS AM P 126.00 0,0.09
OGBL,OGBL SI 20260724 PS AM P 121.00 0,0.01
OGBL,OGBL SI 20260710 PS AM P 133.00 0,6.01
OGBL,OGBL SI 20260731 PS AM P 135.00 0,8.01
OGBL,OGBL SI 20260821 PS AM P 129.50 0,2.62
OGBL,OGBL SI 20260821 PS AM P 123.00 0,0.07
OGBL,OGBL SI 20260731 PS AM C 124.00 0,3.03
OGBL,OGBL SI 20260821 PS AM C 126.50 0,1.06
OGBL,OGBL SI 20260807 PS AM P 121.00 0,0.02
OGBL,OGBL SI 20260724 PS AM C 116.00 0,10.99
OGBL,OGBL SI 20260807 PS AM P 131.50 0,4.52
OGBL,OGBL SI 20260710 PS AM P 128.00 0,1.03
OGBL,OGBL SI 20260724 PS AM P 136.00 0,9.01
OGBL,OGBL SI 20260731 PS AM P 123.50 0,0.03
OGBL,OGBL SI 20260710 PS AM P 119.00 0,0.01
OGBL,OGBL SI 20260710 PS AM C 128.00 0,0.02
OGBL,OGBL SI 20260717 PS AM C 130.00 0,0.01
OGBL,OGBL SI 20260821 PS AM P 115.00 0,0.01
OGBL,OGBL SI 20260717 PS AM P 132.50 0,5.51
OGBL,OGBL SI 20260821 PS AM P 133.50 0,6.53
OGBL,OGBL SI 20260925 PS AM C 135.50 0,0.02
OGBL,OGBL SI 20260807 PS AM C 123.00 0,4.03
OGBL,OGBL SI 20261120 PS AM P 117.00 0,0.07
OGBL,OGBL SI 20260821 PS AM C 135.50 0,0.01
OGBL,OGBL SI 20260717 PS AM C 122.50 0,4.5
OGBL,OGBL SI 20260925 PS AM C 126.00 0,1.1
OGBL,OGBL SI 20261120 PS AM C 131.00 0,0.21
OGBL,OGBL SI 20260724 PS AM P 126.00 0,0.14
OGBL,OGBL SI 20261120 PS AM C 122.50 0,4.01
OGBL,OGBL SI 20260710 PS AM P 128.50 0,1.52
OGBL,OGBL SI 20260717 PS AM C 122.00 0,4.99
OGBL,OGBL SI 20260724 PS AM C 119.50 0,7.49
OGBL,OGBL SI 20260724 PS AM C 128.00 0,0.12
OGBL,OGBL SI 20260807 PS AM P 132.50 0,5.52
OGBL,OGBL SI 20260724 PS AM C 118.00 0,8.99
OGBL,OGBL SI 20260717 PS AM P 124.00 0,0.01
OGBL,OGBL SI 20260925 PS AM P 120.50 0,0.08
OGBL,OGBL SI 20260821 PS AM C 127.00 0,0.77
OGBL,OGBL SI 20260710 PS AM C 117.50 0,9.49
OGBL,OGBL SI 20261120 PS AM C 135.00 0,0.07
OGBL,OGBL SI 20260724 PS AM P 117.50 0,0.01
OGBL,OGBL SI 20260807 PS AM P 121.50 0,0.02
OGBL,OGBL SI 20260925 PS AM P 132.50 0,6.43
OGBL,OGBL SI 20260724 PS AM C 121.50 0,5.5
OGBL,OGBL SI 20260821 PS AM P 125.50 0,0.28
OGBL,OGBL SI 20260724 PS AM P 122.00 0,0.01
OGBL,OGBL SI 20261120 PS AM C 120.00 0,6.27
OGBL,OGBL SI 20260925 PS AM C 123.50 0,2.9
OGBL,OGBL SI 20260710 PS AM C 119.00 0,7.99
OGBL,OGBL SI 20260724 PS AM C 123.50 0,3.51
OGBL,OGBL SI 20260807 PS AM P 137.00 0,10.01
OGBL,OGBL SI 20260724 PS AM C 124.50 0,2.53
OGBL,OGBL SI 20260724 PS AM C 120.50 0,6.5
OGBL,OGBL SI 20260724 PS AM C 130.00 0,0.02
OGBL,OGBL SI 20260807 PS AM P 122.00 0,0.03
OGBL,OGBL SI 20261120 PS AM P 121.00 0,0.23
OGBL,OGBL SI 20260821 PS AM C 133.00 0,0.02
OGBL,OGBL SI 20260807 PS AM P 124.00 0,0.06
OGBL,OGBL SI 20261120 PS AM P 130.50 0,4.65
OGBL,OGBL SI 20260925 PS AM C 134.00 0,0.03
OGBL,OGBL SI 20260724 PS AM P 128.00 0,1.13
OGBL,OGBL SI 20260821 PS AM P 137.00 0,10.02
OGBL,OGBL SI 20260731 PS AM P 135.50 0,8.51
OGBL,OGBL SI 20260821 PS AM C 115.50 0,11.5
OGBL,OGBL SI 20260925 PS AM P 133.50 0,7.42
OGBL,OGBL SI 20261120 PS AM C 129.00 0,0.46
OGBL,OGBL SI 20260821 PS AM P 115.50 0,0.01
OGBL,OGBL SI 20260821 PS AM P 135.00 0,8.02
OGBL,OGBL SI 20260821 PS AM P 127.00 0,0.78
OGBL,OGBL SI 20260724 PS AM C 122.50 0,4.5
OGBL,OGBL SI 20260807 PS AM P 133.50 0,6.51
OGBL,OGBL SI 20260710 PS AM P 125.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 115.00 0,12
OGBL,OGBL SI 20260731 PS AM C 132.00 0,0.01
OGBL,OGBL SI 20260717 PS AM C 125.00 0,2.02
OGBL,OGBL SI 20260710 PS AM P 127.00 0,0.27
OGBL,OGBL SI 20260724 PS AM C 137.00 0,0.01
OGBL,OGBL SI 20261120 PS AM P 131.00 0,5.1
OGBL,OGBL SI 20260710 PS AM C 130.00 0,0.01
OGBL,OGBL SI 20260925 PS AM P 127.50 0,1.88
OGBL,OGBL SI 20261120 PS AM P 136.50 0,10.44
OGBL,OGBL SI 20260821 PS AM C 132.00 0,0.03
OGBL,OGBL SI 20260710 PS AM C 127.50 0,0.08
OGBL,OGBL SI 20260821 PS AM P 117.00 0,0.02
OGBL,OGBL SI 20260821 PS AM C 118.00 0,9.01
OGBL,OGBL SI 20260731 PS AM C 129.50 0,0.04
OGBL,OGBL SI 20260731 PS AM C 120.00 0,7
OGBL,OGBL SI 20260925 PS AM P 131.50 0,5.45
OGBL,OGBL SI 20260807 PS AM P 130.00 0,3.05
OGBL,OGBL SI 20260925 PS AM P 132.00 0,5.94
OGBL,OGBL SI 20260731 PS AM P 134.00 0,7.01
OGBL,OGBL SI 20260724 PS AM C 130.50 0,0.01
OGBL,OGBL SI 20260717 PS AM P 118.00 0,0.01
OGBL,OGBL SI 20260717 PS AM P 127.00 0,0.37
OGBL,OGBL SI 20260731 PS AM P 128.50 0,1.62
OGBL,OGBL SI 20260821 PS AM P 131.00 0,4.05
OGBL,OGBL SI 20260731 PS AM C 135.00 0,0.01
OGBL,OGBL SI 20260710 PS AM C 133.00 0,0.01
OGBL,OGBL SI 20261120 PS AM C 136.00 0,0.06
OGBL,OGBL SI 20260724 PS AM P 130.50 0,3.52
OGBL,OGBL SI 20260807 PS AM C 126.00 0,1.27
OGBL,OGBL SI 20260731 PS AM C 137.00 0,0.01
OGBL,OGBL SI 20260717 PS AM P 137.50 0,10.51
OGBL,OGBL SI 20260731 PS AM P 137.00 0,10.01
OGBL,OGBL SI 20260807 PS AM P 126.50 0,0.43
OGBL,OGBL SI 20260925 PS AM P 126.50 0,1.24
OGBL,OGBL SI 20260807 PS AM C 133.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 132.50 0,0.02
OGBL,OGBL SI 20260925 PS AM C 129.50 0,0.16
OGBL,OGBL SI 20260710 PS AM P 124.50 0,0.01
OGBL,OGBL SI 20260925 PS AM P 123.50 0,0.29
OGBL,OGBL SI 20260925 PS AM C 121.00 0,5.21
OGBL,OGBL SI 20260807 PS AM C 129.50 0,0.06
OGBL,OGBL SI 20260807 PS AM C 133.50 0,0.01
OGBL,OGBL SI 20261120 PS AM P 115.50 0,0.05
OGBL,OGBL SI 20260717 PS AM P 130.50 0,3.51
OGBL,OGBL SI 20260724 PS AM P 121.50 0,0.01
OGBL,OGBL SI 20261120 PS AM P 122.00 0,0.33
OGBL,OGBL SI 20260731 PS AM C 123.00 0,4.01
OGBL,OGBL SI 20260710 PS AM P 136.50 0,9.51
OGBL,OGBL SI 20260717 PS AM C 137.00 0,0.01
OGBL,OGBL SI 20260925 PS AM P 134.00 0,7.92
OGBL,OGBL SI 20260710 PS AM C 129.00 0,0.01
OGBL,OGBL SI 20260731 PS AM C 121.50 0,5.5
OGBL,OGBL SI 20260710 PS AM P 134.00 0,7.01
OGBL,OGBL SI 20260807 PS AM C 134.00 0,0.01
OGBL,OGBL SI 20260717 PS AM C 132.00 0,0.01
OGBL,OGBL SI 20261120 PS AM P 118.00 0,0.09
OGBL,OGBL SI 20260717 PS AM C 126.50 0,0.67
OGBL,OGBL SI 20261120 PS AM C 119.00 0,7.23
OGBL,OGBL SI 20260710 PS AM C 137.50 0,0.01
OGBL,OGBL SI 20260724 PS AM C 134.00 0,0.01
OGBL,OGBL SI 20260925 PS AM C 134.50 0,0.02
OGBL,OGBL SI 20260807 PS AM C 131.00 0,0.02
OGBL,OGBL SI 20260724 PS AM C 133.00 0,0.01
OGBL,OGBL SI 20260925 PS AM P 120.00 0,0.07
OGBL,OGBL SI 20261120 PS AM P 124.00 0,0.69
OGBL,OGBL SI 20260724 PS AM P 134.50 0,7.51
OGBL,OGBL SI 20261120 PS AM P 134.00 0,7.97
OGBL,OGBL SI 20260731 PS AM P 136.50 0,9.51
OGBL,OGBL SI 20260807 PS AM P 120.50 0,0.02
OGBL,OGBL SI 20260724 PS AM C 125.00 0,2.04
OGBL,OGBL SI 20260807 PS AM C 118.50 0,8.5
OGBL,OGBL SI 20260925 PS AM P 116.00 0,
OGBL,OGBL SI 20260925 PS AM P 124.50 0,0.47
OGBL,OGBL SI 20260807 PS AM C 119.50 0,7.5
OGBL,OGBL SI 20260724 PS AM C 131.00 0,0.01
OGBL,OGBL SI 20260710 PS AM C 134.00 0,0.01
OGBL,OGBL SI 20260731 PS AM P 125.50 0,0.13
OGBL,OGBL SI 20261120 PS AM P 121.50 0,0.28
OGBL,OGBL SI 20260925 PS AM P 127.00 0,1.54
OGBL,OGBL SI 20260925 PS AM P 121.50 0,0.12
OGBL,OGBL SI 20260710 PS AM C 131.00 0,0.01
OGBL,OGBL SI 20260731 PS AM P 129.50 0,2.55
OGBL,OGBL SI 20260717 PS AM P 127.50 0,0.67
OGBL,OGBL SI 20260717 PS AM P 136.00 0,9.01
OGBL,OGBL SI 20260807 PS AM P 126.00 0,0.28
OGBL,OGBL SI 20260710 PS AM P 135.50 0,8.51
OGBL,OGBL SI 20260807 PS AM P 135.50 0,8.51
OGBL,OGBL SI 20260925 PS AM C 124.00 0,2.48
OGBL,OGBL SI 20260821 PS AM P 132.00 0,5.04
OGBL,OGBL SI 20260724 PS AM C 117.00 0,9.99
OGBL,OGBL SI 20260807 PS AM C 132.00 0,0.01
OGBL,OGBL SI 20260807 PS AM P 127.00 0,0.64
OGBL,OGBL SI 20260724 PS AM C 116.50 0,10.49
OGBL,OGBL SI 20260807 PS AM C 117.00 0,10
OGBL,OGBL SI 20260925 PS AM P 135.50 0,9.41
OGBL,OGBL SI 20260717 PS AM P 134.50 0,7.51
OGBL,OGBL SI 20261120 PS AM P 127.50 0,2.22
OGBL,OGBL SI 20260717 PS AM C 127.50 0,0.16
OGBL,OGBL SI 20260821 PS AM C 134.00 0,0.01
OGBL,OGBL SI 20260925 PS AM C 132.50 0,0.04
OGBL,OGBL SI 20260731 PS AM P 118.00 0,0.01
OGBL,OGBL SI 20260807 PS AM P 125.00 0,0.12
OGBL,OGBL SI 20260717 PS AM C 119.50 0,7.49
OGBL,OGBL SI 20260821 PS AM P 134.50 0,7.52
OGBL,OGBL SI 20260731 PS AM P 117.00 0,0.01
OGBL,OGBL SI 20261120 PS AM P 129.50 0,3.77
OGBL,OGBL SI 20261120 PS AM P 132.50 0,6.52
OGBL,OGBL SI 20260717 PS AM C 129.00 0,0.02
OGBL,OGBL SI 20260710 PS AM C 125.00 0,2
OGBL,OGBL SI 20260724 PS AM P 135.50 0,8.51
OGBL,OGBL SI 20261120 PS AM C 123.00 0,3.59
OGBL,OGBL SI 20261120 PS AM C 130.00 0,0.31
OGBL,OGBL SI 20260710 PS AM P 124.00 0,0.01
OGBL,OGBL SI 20260717 PS AM P 129.00 0,2.03
OGBL,OGBL SI 20260724 PS AM C 117.50 0,9.49
OGBL,OGBL SI 20260807 PS AM P 136.50 0,9.51
OGBL,OGBL SI 20260724 PS AM P 120.00 0,0.01
OGBL,OGBL SI 20260807 PS AM P 134.50 0,7.51
OGBL,OGBL SI 20260724 PS AM P 135.00 0,8.01
OGBL,OGBL SI 20260925 PS AM C 136.00 0,0.02
OGBL,OGBL SI 20260724 PS AM P 125.00 0,0.05
OGBL,OGBL SI 20260821 PS AM P 128.00 0,1.37
OGBL,OGBL SI 20260925 PS AM C 132.00 0,0.05
OGBL,OGBL SI 20260731 PS AM C 125.50 0,1.62
OGBL,OGBL SI 20260724 PS AM C 126.00 0,1.13
OGBL,OGBL SI 20260925 PS AM C 129.00 0,0.21
OGBL,OGBL SI 20260724 PS AM C 132.00 0,0.01
OGBL,OGBL SI 20260731 PS AM P 124.00 0,0.04
OGBL,OGBL SI 20260925 PS AM C 131.50 0,0.06
OGBL,OGBL SI 20260821 PS AM C 125.00 0,2.19
OGBL,OGBL SI 20260925 PS AM C 133.50 0,0.03
OGBL,OGBL SI 20260717 PS AM C 133.00 0,0.01
OGBL,OGBL SI 20260821 PS AM C 133.50 0,0.02
OGBL,OGBL SI 20260731 PS AM P 127.50 0,0.84
OGBL,OGBL SI 20260724 PS AM C 136.00 0,0.01
OGBL,OGBL SI 20260807 PS AM P 123.50 0,0.05
OGBL,OGBL SI 20260821 PS AM C 127.50 0,0.53
OGBL,OGBL SI 20260821 PS AM C 122.00 0,5.04
OGBL,OGBL SI 20260821 PS AM C 121.00 0,6.03
OGBL,OGBL SI 20260731 PS AM C 134.50 0,0.01
OGBL,OGBL SI 20260821 PS AM C 134.50 0,0.01
OGBL,OGBL SI 20261120 PS AM P 119.50 0,0.14
